,0
AMD Industries,AMDIND
Astra Microwave Products,ASTRAMICRO
Apollo Micro Systems,APOLLO
The Anup Engineering,ANUP
Aban Offshore,ABAN
Aarti Pharmalabs,AARTIPHARM
Ajanta Pharma,AJANTPHARM
Sanofi India,SANOFI
Alembic Pharmaceuticals,APLLTD
Anjani Portland Cement,APCL
Agro Phos India,AGROPHOS
Ansal Properties & Infrastructure,ANSALAPI
Mufin Green Finance,MUFIN
Amara Raja Energy & Mobility,ARE&M
Anant Raj,ANANTRAJ
Anupam Rasayan India,ANURAS
Artemis Medicare Services,ARTEMISMED
Anand Rathi Wealth,ANANDRATHI
Avenue Supermarts,DMART
Accuracy Shipping,ACCURACY
Aarti Surfactants,AARTISURF
Apeejay Surrendra Park Hotels,PARKHOTELS
Awfis Space Solutions,AWFIS
Apollo Tyres,APOLLOTYRE
Adani Energy Solutions,ADANIENSOL
Agro Tech Foods,ATFL
Agri-Tech (India),AGRITECH
Aptus Value Housing Finance India,APTUS
Ador Welding,ADORWELD
Antony Waste Handling Cell,AWHCL
Axiscades Technologies,AXISCADES
Beardsell,BEARDSELL
Balaji Amines,BALAMINES
Bharti Airtel,BHARTIARTL
Bajaj Finance,BAJFINANCE
Balu Forge Industries,BALUFORGE
BASF India,BASF
Bannari Amman Spinning Mills,BASML
Banka Bioloo,BANKA
Bombay Burmah Trading Corporation,BBTC
Bajaj Consumer Care,BAJAJCON
BCL Industries,BCLIND
Bayer CropScience,BAYERCROP
Burnpur Cement,BURNPUR
Bodal Chemicals,BODALCHEM
Bigbloc Construction,BIGBLOC
Sindhu Trade Links,SINDHUTRAD
Brand Concepts,BCONCEPTS
Bhageria Industries,BHAGERIA
Bajaj Electricals,BAJAJELEC
Bharat Electronics,BEL
BEML,BEML
Birla Cable,BIRLACABLE
Bhansali Engineering Polymers,BEPL
BGR Energy Systems,BGRENERGY
Bikaji Foods International,BIKAJI
BF Utilities,BFUTILITIE
Bliss GVS Pharma,BLISSGVS
Bajaj Hindusthan Sugar,BAJAJHIND
Bharat Heavy Electricals,BHEL
Bajaj Holdings & Investment,BAJAJHLDNG
Bata India,BATAINDIA
Balkrishna Industries,BALKRISIND
Bhartiya International,BIL
Binani Industries,BINANIIND
INDUS TOWERS,INDUSTOWER
Bhagyanagar India,BHAGYANGR
Restaurant Brands Asia,RBA
BLS International Services,BLS
Bank of Maharashtra,MAHABANK
Barbeque Nation Hospitality,BARBEQUE
Bang Overseas,BANG
Bank Of Baroda,BANKBARODA
Linde India,LINDEINDIA
Bharat Petroleum Corporation,BPCL
Bharat Road Network,BRNL
Blue Star,BLUESTARCO
Banswara Syntex,BANSWRAS
GACM Technologies,GATECH
Balaji Telefilms,BALAJITELE
APL Apollo Tubes,APLAPOLLO
Bodhi Tree Multimedia,BTML
Bansal Wire Industries,BANSALWIRE
5paisa Capital,5PAISA
Chemfab Alkalis,CHEMFAB
Craftsman Automation,CRAFTSMAN
Campus Activewear,CAMPUS
Computer Age Management Services,CAMS
Concord Biotech,CONCORDBIO
Central Bank of India,CENTRALBK
Adroit Infotech,ADROITINFO
Container Corporation of India,CONCOR
Country Club Hospitality & Holidays,CCHHL
Cholamandalam Investment and Finance Company,CHOLAFIN
Coffee Day Enterprises,COFFEEDAY
Ausom Enterprise,AUSOMENT
CL Educate,CLEDUCATE
Centum Electronics,CENTUM
Choice International,CHOICEIN
CG Power and Industrial Solutions,CGPOWER
Zydus Lifesciences,ZYDUSLIFE
Coal India,COALINDIA
Compuage Infocom,COMPINFO
Cerebra Integrated Technologies,CEREBRAINT
Cyber Media (India),CYBERMEDIA
Control Print,CONTROLPR
Chennai Petroleum Corporation,CHENNPETRO
Colgate Palmolive (India),COLPAL
Caplin Point Laboratories,CAPLIPOINT
Cochin Shipyard,COCHINSHIP
Cera Sanitaryware,CERA
Chemplast Sanmar,CHEMPLASTS
Cybertech Systems and Software,CYBERTECH
Carborundum Universal,CARBORUNIV
Cello World,CELLO
DLF,DLF
Delhivery,DELHIVERY
Dhanuka Agritech,DHANUKA
Dilip Buildcon,DBL
DB (International) Stock Brokers,DBSTOCKBRO
Dhampur Bio Organics,DBOL
Diamond Power Infrastructure,DIACABS
Dishman Carbogen Amcis,DCAL
DCM Shriram,DCMSHRIRAM
DCM Shriram Industries,DCMSRIND
Alankit,ALANKIT
Eldeco Housing and Industries,ELDEHSG
Entero Healthcare Solutions,ENTERO
Exide Industries,EXIDEIND
Electrotherm (India),ELECTHERM
Excel Realty N Infra,EXCEL
Emami Realty,EMAMIREAL
Eveready Industries India,EVEREADY
Eros International Media,EROSMEDIA
Eris Lifesciences,ERIS
Eicher Motors,EICHERMOT
Mahindra EPC Irrigation,MAHEPC
Elgi Rubber Company,ELGIRUBCO
Essar Shipping,ESSARSHPNG
Exxaro Tiles,EXXARO
Exicom Tele-Systems,EXICOM
Easy Trip Planners,EASEMYTRIP
Schaeffler India,SCHAEFFLER
Finolex Cables,FINCABLES
Fineotex Chemical,FCL
FCS Software Solutions,FCSSOFT
GVP Infotech,GVPTECH
Filatex Fashions,FILATFASH
Finolex Industries,FINPIPE
Flexituff Ventures International,FLEXITUFF
Future Lifestyle Fashions,FLFL
Firstsource Solutions,FSL
Faze Three,FAZE3Q
Flair Writing Industries,FLAIR
Allcargo Gati,ACLGATI
Gujarat Alkalies and Chemicals,GUJALKALI
Gujarat Ambuja Exports,GAEL
Gujarat Apollo Industries,GUJAPOLLO
Gokul Agro Resources,GOKULAGRO
Gufic Biosciences,GUFICBIO
Goa Carbon,GOACARBON
Greaves Cotton,GREAVESCOT
Godrej Consumer Products,GODREJCP
Gateway Distriparks,GATEWAY
Gokaldas Exports,GOKEX
Digidrive Distributors,DIGIDRIVE
Digicontent,DGCONTENT
Datamatics Global Services,DATAMATICS
Devyani International,DEVYANI
Dolat Algotech,DOLATALGO
Deep Energy Resources Limited,DEEPENR
Dhunseri Investments,DHUNINV
DOMS Industries,DOMS
Dev Information Technology,DEVIT
Den Networks,DEN
D. P. Abhushan,DPABHUSHAN
DRC Systems India,DRCSYSTEMS
Dynamatic Technologies,DYNAMATECH
Dhunseri Ventures,DVL
Escorts Kubota,ESCORTS
Edelweiss Financial Services,EDELWEISS
Electrosteel Castings,ELECTCAST
Alicon Castalloy,ALICON
Elgi Equipments,ELGIEQUIP
Elin Electronics,ELIN
Elecon Engineering Company,ELECON
Gensol Engineering,GENSOL
GTPL Hathway,GTPL
Global Health,MEDANTA
Ganesh Housing Corporation,GANESHHOUC
Grasim Industries,GRASIM
Gabriel India,GABRIEL
Gravita India,GRAVITA
Godrej Industries,GODREJIND
Granules India,GRANULES
GMR Airports Infrastructure,GMRINFRA
Olectra Greentech,OLECTRA
Hardwyn India,HARDWYN
GIC Housing Finance,GICHSGFIN
General Insurance Corporation of India,GICRE
Stylam Industries,STYLAMIND
Gloster,GLOSTERLTD
Gallantt Ispat,GALLANTT
Gujarat Mineral Development Corporation,GMDCLTD
GOCL Corporation,GOCLCORP
Gulf Oil Lubricants India,GULFOILLUB
Godrej Properties,GODREJPROP
Gland Pharma,GLAND
Gulshan Polyols,GULPOLY
Genus Paper & Boards,GENUSPAPER
Godfrey Phillips India,GODFRYPHLP
Gujarat Pipavav Port,GPPL
GPT Infraprojects,GPTINFRA
GRM Overseas,GRMOVER
Gokul Refoils and Solvent,GOKUL
Global Surfaces,GSLSU
Gujarat State Petronet,GSPL
Golden Tobacco,GOLDENTOBC
GTL Infrastructure,GTLINFRA
GVK Power & Infrastructure,GVKPIL
Garware Technical Fibres,GARFIBRES
HMA Agro Industries,HMAAGRO
Hindustan Aeronautics,HAL
HDFC Asset Management Company,HDFCAMC
HBL Power Systems,HBLPOWER
HB Stockholdings,HBSL
Hindustan Composites,HINDCOMPOS
Hindustan Copper,HINDCOPPER
Himadri Speciality Chemical,HSCL
HCL Infosystems,HCL-INSYS
HCL Technologies,HCLTECH
Honasa Consumer,HONASA
HDFC Bank,HDFCBANK
Housing Development and Infrastructure,HDIL
HEG,HEG
Harsha Engineers International,HARSHA
HPL Electric & Power,HPL
HFCL,HFCL
Heritage Foods,HERITGFOOD
Healthcare Global Enterprises,HCG
Hero Motocorp,HEROMOTOCO
Havells India,HAVELLS
Happiest Minds Technologies,HAPPSTMNDS
Hitech Corporation,HITECHCORP
Pearl Global Industries,PGIL
Himatsingka Seide,HIMATSEIDE
HDFC Life Insurance Company,HDFCLIFE
Hindustan Unilever,HINDUNILVR
Housing & Urban Development Corporation,HUDCO
Hindustan Zinc,HINDZINC
G R Infraprojects,GRINFRA
3i Infotech,3IINFOLTD
Indo Amines,INDOAMIN
Interglobe Aviation,INDIGO
Vodafone Idea,IDEA
Akzo Nobel India,AKZOINDIA
ICICI Bank,ICICIBANK
Indo Count Industries,ICIL
Innova Captab,INNOVACAP
Intellect Design Arena,INTELLECT
IDBI Bank,IDBI
IDFC First Bank,IDFCFIRSTB
Indian Energy Exchange,IEX
Ion Exchange (India),IONEXCHANG
IFB Industries,IFBIND
IFCI,IFCI
IFGL Refractories,IFGLEXPOR
Impex Ferro Tech,IMPEXFERRO
Integra Essentia,ESSENTIA
Sammaan Capital,SAMMAANCAP
Ircon International,IRCON
IIFL Finance,IIFL
IndusInd Bank,INDUSINDBK
IRB Infrastructure Developers,IRB
Rattanindia Enterprises,RTNINDIA
Industrial Investment Trust,IITL
India Motor Parts and Accessories,IMPAL
Styrenix Performance Materials,STYRENIX
Indian Overseas Bank,IOB
Indian Oil Corporation,IOC
IOL Chemicals and Pharmaceuticals,IOLCP
Indoco Remedies,INDOCO
Equinox India Developments,EMBDL
Indian Renewable Energy Development Agency,IREDA
Dhani Services,DHANI
Ind-Swift Laboratories,INDSWFTLAB
ICICI Securities,ISEC
Infosys,INFY
ITC,ITC
India Tourism Development Corporation,ITDC
Indo Thai Securities,INDOTHAI
Inox Wind,INOXWIND
Jamna Auto Industries,JAMNAAUTO
Jai Balaji Industries,JAIBALAJI
Jai Corp,JAICORPLTD
JSW Energy,JSWENERGY
Jubilant Foodworks,JUBLFOOD
Juniper Hotels,JUNIPER
JHS Svendgaard Laboratories,JHS
JSW Infrastructure,JSWINFRA
Jyothy Labs,JYOTHYLAB
Jayaswal Neco Industries,JAYNECOIND
Jubilant Pharmova,JUBLPHARMA
Jindal Poly Films,JINDALPOLY
Jindal Saw,JINDALSAW
JSW Holdings,JSWHL
JSW Steel,JSWSTEEL
Jindal Worldwide,JINDWORLD
R R Kabel,RRKABEL
Accelya Solutions India,ACCELYA
Kirloskar Brothers,KIRLOSBROS
KNR Constructions,KNRCON
Keynote Financial Services,KEYFINSERV
Krsnaa Diagnostics,KRSNAA
KDDL,KDDL
Kilitch Drugs (India),KILITCH
KEC International,KEC
KEI Industries,KEI
Kabra Extrusion Technik,KABRAEXTRU
Kitex Garments,KITEX
Kirloskar Pneumatic Company,KIRLPNU
Kesoram Industries,KESORAMIND
Kalyani Investment Company,KICL
Kaushalya Infrastructure Development Corporation,KAUSHALYA
Kriti Industries (India),KRITI
Krishna Institute of Medical Sciences,KIMS
Kalyan Jewellers India,KALYANKJIL
Kotak Mahindra Bank,KOTAKBANK
Kansai Nerolac Paints,KANSAINER
Kirloskar Oil Engines,KIRLOSENG
Kshitij Polyline,KSHITIJPOL
KPI Green Energy,KPIGREEN
Keystone Realtors,RUSTOMJEE
KRBL,KRBL
Khandwala Securities,KHANDSE
KSB,KSB
Kothari Sugars and Chemicals,KOTARISUG
Kaveri Seed Company,KSCL
Kaynes Technology India,KAYNES
Lupin,LUPIN
Laxmi Cotspin,LAXMICOT
Libas Consumer Products,LIBAS
Lux Industries,LUXIND
Life Insurance Corporation of India,LICI
Laurus Labs,LAURUSLABS
Lakshmi Machine Works,LAXMIMACH
Lincoln Pharmaceuticals,LINCOLN
Larsen & Toubro,LT
LT Foods,LTFOODS
Lemon Tree Hotels,LEMONTREE
Latent View Analytics,LATENTVIEW
Mukand,MUKANDLTD
Aurum Proptech,AURUM
Matrimony.com,MATRIMONY
Maan Aluminium,MAANALU
Maithan Alloys,MAITHANALL
Maha Rashtra Apex Corporation,MAHAPEXLTD
Munjal Auto Industries,MUNJALAU
MphasiS,MPHASIS
Metro Brands,METROBRAND
Mrs. Bectors Food Specialities,BECTORFOOD
The Ramco Cements,RAMCOCEM
Monte Carlo Fashions,MONTECARLO
Minda Corporation,MINDACORP
Multi Commodity Exchange of India,MCX
Manaksia Coated Metals & Industries,MANAKCOAT
Macrotech Developers,LODHA
Mishra Dhatu Nigam,MIDHANI
Mazagon Dock Shipbuilders,MAZDOCK
Mirc Electronics,MIRCELECTR
Muthoot Finance,MUTHOOTFIN
CIE Automotive India,CIEINDIA
Poonawalla Fincorp,POONAWALLA
MAS Financial Services,MASFIN
Mangalam Global Enterprise,MGEL
Manappuram Finance,MANAPPURAM
Max Financial Services,MFSL
Man Infraconstruction,MANINFRA
3M India,3MINDIA
Mirza International,MIRZAINT
Max India,MAXIND
MMP Industries,MMP
Maheshwari Logistics,MAHESHWARI
Mahindra Logistics,MAHLOG
Morepen Laboratories,MOREPENLAB
Mahindra Lifespace Developers,MAHLIFE
MM Forgings,MMFL
Mahindra & Mahindra Financial Services,M&MFIN
Capri Global Capital,CGCL
Marathon Nextgen Realty,MARATHON
Motilal Oswal Financial Services,MOTILALOFS
Manali Petrochemicals,MANALIPETC
Madhucon Projects,MADHUCON
Marksans Pharma,MARKSANS
Mankind Pharma,MANKIND
Mukka Proteins,MUKKA
Adani Ports and Special Economic Zone,ADANIPORTS
Modi Rubber,MODIRUBBER
MRO-TEK Realty,MRO-TEK
Mangalore Refinery and Petrochemicals,MRPL
Maruti Suzuki India,MARUTI
Mawana Sugars,MAWANASUG
MSP Steel & Power,MSPL
Samvardhana Motherson International,MOTHERSON
Mahanagar Telephone Nigam,MTNL
NHPC,NHPC
Ndr Auto Components,NDRAUTO
Navkar Corporation,NAVKARCORP
Nandani Creation,JAIPURKURT
Neogen Chemicals,NEOGEN
NCC,NCC
Niraj Cement Structurals,NIRAJ
Spacenet Enterprises India,SPCENET
New Delhi Television,NDTV
North Eastern Carrying Corporation,NECCLTD
National Fertilizers,NFL
Navin Fluorine International,NAVINFLUOR
Nahar Poly Films,NAHARPOLY
Nila Spaces,NILASPACES
Neuland Laboratories,NEULANDLAB
NMDC,NMDC
Navneet Education,NAVNETEDUL
Natco Pharma,NATCOPHARM
Swelect Energy Systems,SWELECTES
Nupur Recyclers,NRL
Monarch Networth Capital,MONARCH
NINtec SYSTEMS,NINSYS
Newgen Software Technologies,NEWGEN
Nazara Technologies,NAZARA
Noida Toll Bridge Company,NOIDATOLL
NTPC,NTPC
Nuvoco Vistas Corporation,NUVOCO
Omaxe,OMAXE
Ortel Communications,ORTEL
Onelife Capital Advisors,ONELIFECAP
Orient Bell,ORIENTBELL
Dalmia Bharat,DALBHARAT
Orchid Pharma,ORCHPHARMA
Orbit Exports,ORBTEXP
Oricon Enterprises,ORICONENT
Oracle Financial Services Software,OFSS
Oswal Greentech,OSWALGREEN
Orient Green Power Company,GREENPOWER
Ortin Laboratories,ORTINLAB
Oberoi Realty,OBEROIRLTY
Pricol,PRICOLLTD
Prism Johnson,PRSMJOHNSN
Setubandhan Infrastructure,SETUINFRA
Precision Camshafts,PRECAM
Prudent Corporate Advisory Services,PRUDENT
Punjab Chemicals & Crop Protection,PUNJABCHEM
Prozone Realty,PROZONER
Parsvnath Developers,PARSVNATH
Paras Defence and Space Technologies,PARAS
Pioneer Embroideries,PIONEEREMB
Premier Explosives,PREMEXPLN
PG Electroplast,PGEL
Prestige Estates Projects,PRESTIGE
Prajay Engineers Syndicate,PRAENG
PB Fintech,POLICYBZR
Power Finance Corporation,PFC
Power Grid Corporation of India,POWERGRID
PNB Housing Finance,PNBHOUSING
Pidilite Industries,PIDILITIND
Praj Industries,PRAJIND
PNC Infratech,PNCINFRA
Pennar Industries,PENIND
3p Land Holdings,3PLAND
Polycab India,POLYCAB
Sequent Scientific,SEQUENT
PTC India Financial Services,PFS
Power & Instrumentation (Gujarat),PIGL
Pilani Investment and Industries Corporation,PILANIINVS
Platinum Industries,PLATIND
PC Jeweller,PCJEWELLER
Pitti Engineering,PITTIENG
Pokarna,POKARNA
Peninsula Land,PENINLAND
Petronet LNG,PETRONET
Poly Medicure,POLYMED
Punjab National Bank,PNB
Pondy Oxides & Chemicals,POCL
Huhtamaki India,HUHTAMAKI
PSP Projects,PSPPROJECT
Piramal Pharma,PPLPHARMA
PPAP Automotive,PPAP
Aurionpro Solutions,AURIONPRO
Persistent Systems,PERSISTENT
Prataap Snacks,DIAMONDYD
Pix Transmissions,PIXTRANS
PTC Industries,PTCIL
PTL Enterprises,PTL
PVP Ventures,PVP
Popular Vehicles and Services,PVSL
Precision Wires India,PRECWIRE
Quick Heal Technologies,QUICKHEAL
Redtape,REDTAPE
Rollatainers,ROLLT
Rossari Biotech,ROSSARI
Reliance Communications,RCOM
Reliable Data Services,RELIABLE
Rudrabhishek Enterprises,REPL
Ramkrishna Forgings,RKFORGE
Rane Holdings,RANEHOLDIN
Ravinder Heights,RVHL
Repco Home Finance,REPCOHOME
Reliance Industries,RELIANCE
Rallis India,RALLIS
Remsons Industries,REMSONSIND
Rolta India,ROLTA
Reliance Infrastructure,RELINFRA
Rishabh Instruments,RISHABH
Reliance Industrial Infrastructure,RIIL
Nippon Life India Asset Management,NAM-INDIA
Royal Orchid Hotels,ROHLTD
Reliance Power,RPOWER
Roto Pumps,ROTO
Rajshree Polypack,RPPL
RPG Life Sciences,RPGLIFE
Rashi Peripherals,RPTECH
Refex Industries,REFEX
Ram Ratna Wires,RAMRAT
Patanjali Foods,PATANJALI
Rama Steel Tubes,RAMASTEEL
Rossell India,ROSSELLIND
Rategain Travel Technologies,RATEGAIN
Rail Vikas Nigam,RVNL
Saksoft,SAKSOFT
Digispice Technologies,DIGISPICE
Subex,SUBEXLTD
Sagardeep Alloys,SAGARDEEP
Sejal Glass,SEJALLTD
Steel Authority of India,SAIL
Shivalik Bimetal Controls,SBCL
State Bank of India,SBIN
Shankara Building Products,SHANKARA
Sona BLW Precision Forgings,SONACOMS
TVS Holdings,TVSHLTD
Sharda Cropchem,SHARDACROP
SecUR Credentials,SECURCRED
Sagar Cements,SAGCEM
Best Agrolife,BESTAGRO
Suryalakshmi Cotton Mills,SURYALAXMI
Satin Creditcare Network,SATIN
Symphony,SYMPHONY
Steel City Securities,STEELCITY
Sasken Technologies,SASKEN
Salzer Electronics,SALZERELEC
Shemaroo Entertainment,SHEMAROO
Suprajit Engineering,SUPRAJIT
Suzlon Energy,SUZLON
SBC Exports,SBC
Softtech Engineers,SOFTTECH
Tembo Global Industries,TEMBO
Sansera Engineering,SANSERA
Suraj Estate Developers,SURAJEST
Shaily Engineering Plastics,SHAILY
Signet Industries,SIGIND
Sundram Fasteners,SUNDRMFAST
Sarveshwar Foods,SARVESHWAR
SBFC Finance,SBFC
Sundaram Finance Holdings,SUNDARMHLD
Sapphire Foods India,SAPPHIRE
Sky Gold,SKYGOLD
HLE Glascoat,HLEGLAS
SMC Global Securities,SMCGLOBAL
Responsive Industries,RESPONIND
Samhi Hotels,SAMHI
Hindware Home Innovation,HINDWAREAP
Sumeet Industries,SUMEETINDS
Supreme Industries,SUPREMEIND
Shradha Infraprojects,SHRADHA
Simplex Infrastructures,SIMPLEXINF
Suvidhaa Infoserve,SUVIDHAA
Safari Industries (India),SAFARI
Supreme Infrastructure India,SUPREMEINF
Solar Industries India,SOLARINDS
Sat Industries,SATINDLTD
Sigachi Industries,SIGACHI
Sunflag Iron and Steel Company,SUNFLAG
ISGEC Heavy Engineering,ISGEC
Stove Kraft,STOVEKRAFT
SKF India,SKFINDIA
SKM Egg Products Export (India),SKMEGGPROD
Stanley Lifestyles,STANLEY
Suven Life Sciences,SUVEN
Sanghvi Movers,SANGHVIMOV
Shilpa Medicare,SHILPAMED
Arihant Superstructures,ARIHANTSUP
Pritika Auto Industries,PRITIKAUTO
Silly Monks Entertainment,SILLYMONKS
Sharda Motor Industries,SHARDAMOTR
Sundaram Multi Pap,SUNDARAM
Smartlink Holdings,SMARTLINK
Shanti Overseas (India),SHANTI
Savita Oil Technologies,SOTL
Shalimar Paints,SHALPAINTS
Suven Pharmaceuticals,SUVENPHAR
Shriram Properties,SHRIRAMPPS
SMS Pharmaceuticals,SMSPHARMA
Seshasayee Paper and Boards,SESHAPAPER
Sun Pharmaceutical Industries,SUNPHARMA
Sirca Paints India,SIRCA
Shakti Pumps (India),SHAKTIPUMP
SPL Industries,SPLIL
Shriram Pistons & Rings,SHRIPISTON
Servotech Power Systems,SERVOTECH
Surya Roshni,SURYAROSNI
Sunteck Realty,SUNTECK
Shree Renuka Sugars,RENUKA
Sonata Software,SONATSOFTW
Shoppers Stop,SHOPERSTOP
Summit Securities,SUMMITSEC
Spandana Sphoorty Financial,SPANDANA
Sri Havisha Hospitality and Infrastructure,HAVISHA
Siyaram Silk Mills,SIYSIL
Steel Strips Wheels,SSWL
Sterling Tools,STERTOOLS
Surana Telecom and Power,SURANAT&P
Shiva Texyarn,SHIVATEX
Salasar Techno Engineering,SALASAR
Sun TV Network,SUNTV
Silver Touch Technologies,SILVERTUC
Sandhar Technologies,SANDHAR
Sula Vineyards,SULA
South West Pinnacle Exploration,SOUTHWEST
Sterling and Wilson Renewable Energy,SWSOLAR
Trent,TRENT
Talbros Automotive Components,TALBROAUTO
Tata Chemicals,TATACHEM
Tata Communications,TATACOMM
TCI Finance,TCIFINANCE
TCPL Packaging,TCPLPACK
Tata Consultancy Services,TCS
Tata Elxsi,TATAELXSI
Expleo Solutions,EXPLEOSOL
Taj GVK Hotels & Resorts,TAJGVK
Tega Industries,TEGA
Cholamandalam Financial Holdings,CHOLAHLDNG
Tata Steel,TATASTEEL
Tata Motors,TATAMOTORS
Tech Mahindra,TECHM
Tarsons Products,TARSONS
Take Solutions,TAKE
Tanla Platforms,TANLA
Varun Beverages,VBL
ZF Commercial Vehicle Control Systems India,ZFCVINDIA
AYM Syntex,AYMSYNTEX
Siti Networks,SITINET
ZIM Laboratories,ZIMLAB
eClerx Services,ECLERX
21st Century Management,21STCENMGM
S P Apparels,SPAL
Atlantaa,ATLANTAA
Allied Blenders & Distillers,ABDL
Ahluwalia Contracts India,AHLUCONT
Adani Green Energy Limited,ADANIGREEN
Aarvee Denim and Exports,AARVEEDEN
Aster DM Healthcare Ltd,ASTERDM
Amber Enterprises India Limited,AMBER
ADF Foods Industries,ADFFOODS
Apollo Hospitals Enterprises,APOLLOHOSP
Advani Hotels and Resorts (India),ADVANIHOTR
AksharChem (India),AKSHARCHEM
Akash Infraprojects,AKASH
Authum Investment & Infrastucture,AIIL
Airo Lam,AIROLAM
Ashoka Metcast Limited,ASHOKAMET
Astron Paper & Board Mill Ltd.,ASTRON
Astral Limited,ASTRAL
TARC,TARC
Ajmera Realty and Infra India,AJMERA
Arvind Fashions Limited,ARVINDFASN
The Andhra Sugar,ANDHRSUGAR
BSE Limited,BSE
BAG Films and Media,BAGFILMS
The Bombay Dyeing Co.,BOMDYEING
Borosil Renewables Ltd.,BORORENEW
BL Kashyap & Sons,BLKASHYAP
Barak Vally Cements,BVCL
ORIENTAL AROMATICS Ltd.,OAL
CCL Products India,CCL
RPSG VENTURES,RPSGVENT
Cosmo First,COSMOFIRST
Chambal Fertilisers and Chemicals,CHAMBLFERT
CreditAccess Grameen,CREDITACC
Crompton Greaves Consumer Electrical,CROMPTON
Confidence Petroleum,CONFIPET
California Software,CALSOFT
Clean Science & Technology,CLEAN
Century Textiles and Industries,CENTURYTEX
Diamines and Chemicals,DIAMINESQ
DCM NOUVELLE LIMITED,DCMNVL
Fertilisers and Chemicals Travancore,FACT
FSN E-Commerce Ventures Nykaa,NYKAA
Foods and Inns,FOODSIN
Focus Lighting & Fixtures,FOCUS
Force Motors,FORCEMOT
Federal-Mogul Goetze,FMGOETZE
Fine Organics Industries,FINEORG
63 Moons Technologies,63MOONS
Gillanders Arbuthnot & Co,GILLANDERS
Deepak Fertilisers And Petrochemicals Corporation,DEEPAKFERT
Dr Lal PathLabs,LALPATHLAB
Dolphin Offshore Enterprises (I),DOLPHIN
Great Eastern Shipping Company,GESHIP
Good Luck India,GOODLUCK
Gandhar Oil Refinery India,GANDHAR
Godawari Power & Ispat,GPIL
Greenpanel Industries Limited,GREENPANEL
Galaxy Surfactants Ltd.,GALAXYSURF
Gujarat Fluorochemicals Limited,FLUOROCHEM
Hatsun Agro Products,HATSUN
HG Infra Engineering Ltd.,HGINFRA
HLV,HLVLTD
Info Edge India,NAUKRI
Inventure Growth and Securities,INVENTURE
Indian Hotels Company,INDHOTEL
360 ONE WAM,360ONE
IRCTC - Indian Railway Catering & Tourism Corp,IRCTC
Jet Airways,JETAIRWAYS
JB Chemicals and Pharmaceuticals,JBCHEPHARM
Jindal Drilling Industries,JINDRILL
J. K. Cement,JKCEMENT
JK Tyre and Industries,JKTYRE
Jayshree Tea and Industries,JAYSREETEA
S H Kelkar & Company,SHK
Khadim India Limited,KHADIM
Kanpur Plastipacks,KANPRPLA
LG Balakrishnan and Brothers,LGBBROSLTD
Lypsa Gems and Jewellery,LYPSAGEMS
Loyal Textiles Mills,LOYALTEX
Mcnally Bharat Engineering,MBECL
Mangalam Drugs & Organics,MANGALAM
Marine Electricals India,MARINE
Max Estates Ltd,MAXESTATES
Max Healthcare Institute Limited,MAXHEALTH
Mahindra Holidays and Resorts India,MHRIL
Manugraph Industries,MANUGRAPH
Mayur Uniquoters,MAYURUNIQ
NGL Fine Chem,NGLFINE
COFORGE LIMITED,COFORGE
Starteck Finance Limited,STARTECK
Network 18 Media & Investments,NETWORK18
NRB Bearings,NRBBEARING
Nalwa Sons Investment,NSIL
Nuvama Wealth Management Ltd,NUVAMA
