,0
AKI India Limited,LIC09
Akshar Spintex Limited,ASL
AksharChem India Limited,AI29
Aksh Optifibre Limited,AE13
Akzo Nobel India Limited,ICI
Alankit Limited,ADANI54145
Albert David Limited,AE13
Alembic Limited,A08
Alicon Castalloy Limited,EC06
Alkali Metals Limited,AM11
Alkem Laboratories Limited,AL05
Alkyl Amines Chemicals Limited,AAC
Allcargo Logistics Limited,AGL02
Allsec Technologies Limited,ALL01
Almondz Global Securities Limited,AGS
Alok Industries Limited,AI54
Alpa Laboratories Limited,AL11
Alphageo (India) Limited,MIL16
Alps Industries Limited,AE13
Amber Enterprises India Limited,AEI01
Ambuja Cements Limited,AA9
AMD Industries Limited,AMD02
Ami Organics Limited,AE13
Amj Land Holdings Limited,PPP
Ambica Agarbathies & Aroma industries Limited,AA9
Ambika Cotton Mills Limited,AE13
Amines & Plasticizers Limited,AE13
Amrutanjan Health Care Limited,AE13
Anand Rathi Wealth Limited,ARW
Anant Raj Limited,ARI
ANDHRA PAPER LIMITED,APP
The Andhra Sugars Limited,AS18
Angel One Limited,ABL03
Anik Industries Limited,AI57
Ankit Metal & Power Limited,AE13
Anmol India Limited,OCL
Ansal Properties & Infrastructure Limited,API07
Antarctica Limited,AE13
The Anup Engineering Limited,ANUP54246
Anupam Rasayan India Limited,ARI02
Apar Industries Limited,AI40
Anjani Portland Cement Limited,APC
Apcotex Industries Limited,AI58
Apex Frozen Foods Limited,AFF
APL Apollo Tubes Limited,BT09
Alembic Pharmaceuticals Limited,AP35
Apollo Micro Systems Limited,AMS
Apollo Hospitals Enterprise Limited,AHE
Apollo Pipes Limited,ALF02
Apollo Tyres Limited,AT14
Apollo Sindoori Hotels Limited,AE13
Aptech Limited,AE13
Aptus Value Housing Finance India Limited,AVH
Archidply Industries Limited,GREEN54285
Archies Limited,ACI05
Amara Raja Energy & Mobility Limited,ARB
Rajdarshan Industries Limited,GREEN54285
Aries Agro Limited,AA02
Arihant Capital Markets Limited,ACM02
Arihant Superstructures Limited,SMC07
Arman Financial Services Limited,AE13
Aro Granite Industries Limited,AGI01
Arrow Greentech Limited,ACP
Arshiya Limited,ADANI54145
ARSS Infrastructure Projects Limited,AIP
Artemis Medicare Services Limited,ARTEM54291
Art Nirman Limited,ARTEM54291
Arvee Laboratories (India) Limited,MIL16
Arvind Limited,ARVIN54248
Arvind Fashions Limited,ARVIN54248
Arvind SmartSpaces Limited,AI72
Asahi India Glass Limited,AIG01
Asahi Songwon Colors Limited,AIG01
Automotive Stampings and Assemblies Limited,AA06
Associated Alcohols & Breweries Ltd.,ACC06
Ashapura Minechem Limited,AE13
Ashiana Housing Limited,AH07
Ashima Limited,ADANI54145
Ashoka Buildcon Limited,AB
Ashoka Metcast Limited,AML04
Ashok Leyland Limited,AL
Asian Energy Services Limited,AE13
Asian Hotels (North) Limited,AH
Asian Paints Limited,AE13
Asian Granito India Limited,AGI04
ASK Automotive Limited,AAL02
Bartronics India Limited,OCL
Aspinwall and Company Limited,AC27
Astec LifeSciences Limited,AL13
Aster DM Healthcare Limited,ADH
Astral Limited,APT02
Astra Microwave Products Limited,AMP01
AstraZeneca Pharma India Limited,SSP03
Astron Paper & Board Mill Limited,APB
Atal Realtech Limited,ARL
Atam Valves Limited,AV02
Agro Tech Foods Limited,ATF
Adani Total Gas Limited,AE13
Allcargo Terminals Limited,ABD
ATLANTAA LIMITED,A9
Atul Limited,ADANI54145
Atul Auto Limited,A06
AU Small Finance Bank Limited,AE13
Aurionpro Solutions Limited,PS12
Aurobindo Pharma Limited,AE13
Aurum PropTech Limited,M19
Ausom Enterprise Limited,CE06
Automotive Axles Limited,AE13
Autoline Industries Limited,AI59
Avadh Sugar & Energy Limited,ASE03
Avalon Technologies Limited,AF21
Avantel Limited,LIC09
Avanti Feeds Limited,AF21
AVG Logistics Limited,ALL02
Avonmore Capital & Management Services Limited,AC19
AVRO INDIA LIMITED,AE13
AVT Natural Products Limited,AE13
Awfis Space Solutions Limited,ASS01
Antony Waste Handling Cell Limited,AWH
Adani Wilmar Limited,AE13
Axis Bank Limited,AB16
AXISCADES Technologies Limited,AXI
Axita Cotton Limited,AE13
AYM Syntex Limited,WS01
Azad Engineering Limited,AE13
Bafna Pharmaceuticals Limited,BA08
Bajaj Auto Limited,BAG
Bajaj Consumer Care Limited,BC02
Bajaj Electricals Limited,BE
Bajaj Finserv Limited,BA08
Bajaj Healthcare Limited,MHI
Bajaj Hindusthan Sugar Limited,BH06
Bajaj Holdings & Investment Limited,BHI
Bajel Projects Limited,BP06
Bajaj Finance Limited,BAF
Balaji Telefilms Limited,BT06
Balaji Amines Limited,BA05
BALAXI PHARMACEUTICALS LIMITED,SLS01
Balkrishna Paper Mills Limited,APP
Balkrishna Industries Limited,BI03
Balmer Lawrie & Company Limited,BA08
Bal Pharma Limited,TAR
Balrampur Chini Mills Limited,BAF
Balu Forge Industries Limited,BAL01
Banaras Beads Limited,BB03
Bannari Amman Sugars Limited,BS07
Banco Products (I) Limited,KFI02
Bandhan Bank Limited,BB09
Bang Overseas Limited,BO02
Banka BioLoo Limited,BB08
Bank of Baroda,BOB
Bank of India,BOB
Bansal Wire Industries Limited,BWI03
Banswara Syntex Limited,BS01
Barbeque Nation Hospitality Limited,BNH
BASF India Limited,BAS
Bannari Amman Spinning Mills Limited,BAS01
Bata India Limited,BI01
Bayer Cropscience Limited,BC12
Bharat Bijlee Limited,BE03
Black Box Limited,AGC
Bombay Burmah Trading Corporation Limited,BBT
B&B Triplewall Containers Limited,BA08
Bcl Industries Limited,BC06
Brand Concepts Limited,BCL09
Bharat Dynamics Limited,BDL01
Beardsell Limited,B06
Mrs. Bectors Food Specialities Limited,MBF01
Bedmutha Industries Limited,BA08
Bharat Electronics Limited,BE03
Berger Paints (I) Limited,LIC09
Best Agrolife Limited,SCL11
BF Investment Limited,BA08
BF Utilities Limited,BFU
BGR Energy Systems Limited,BES
Bhagiradha Chemicals & Industries Limited,BC06
Bhageria Industries Limited,BD02
Bharat Forge Limited,BI23
Bharat Gears Limited,BA08
Bharat Rasayan Limited,JTA
Bharat Wire Ropes Limited,BA08
Bharti Airtel Limited,BA08
Bharti Hexacom Limited,BHL02
Bharat Heavy Electricals Limited,BHE
Bigbloc Construction Limited,BC19
Bikaji Foods International Limited,BFI01
Bhartiya International Limited,BI06
Binani Industries Limited,BI10
Biocon Limited,BA08
Biofil Chemicals & Pharmaceuticals Limited,BCP
Birla Cable Limited,BEO
Birla Corporation Limited,BA08
Aditya Birla Money Limited,AE13
BEML Land Assets Limited,BLA
BLB Limited,ADANI54145
Bliss GVS Pharma Limited,BGV
B. L. Kashyap and Sons Limited,BLK
BLS International Services Limited,BLS
BLS E-Services Limited,LIC09
Blue Chip India Limited,BCS03
Blue Dart Express Limited,BA08
Blue Jet Healthcare Limited,BA08
Blue Star Limited,BS
Bodal Chemicals Limited,BC15
Bombay Dyeing & Mfg Company Limited,BDM
Borosil Limited,BA08
Bosch Limited,BGW
Bharat Petroleum Corporation Limited,BPC
BPL Limited,ADANI54145
Brigade Enterprises Limited,BA08
Britannia Industries Limited,BA08
Bharat Road Network Limited,BRN
Brooks Laboratories Limited,BIR
BSE Limited,B08
Bombay Super Hybrid Seeds Limited,BSH
BSL Limited,BSL03
BIRLASOFT LIMITED,MI42
Bodhi Tree Multimedia Limited,BTM04
B.A.G Films and Media Limited,BAF
Bhandari Hosiery Exports Limited,BEP
BOROSIL RENEWABLES LIMITED,BGW
Borosil Scientific Limited,BS06
Baid Finserv Limited,BLF
BEML Limited,BEM03
Bhansali Engineering Polymers Limited,BEP
Bhagyanagar India Limited,BI23
Burnpur Cement Limited,BC13
Butterfly Gandhimathi Appliances Limited,GA
Barak Valley Cements Limited,BVC
Camlin Fine Sciences Limited,SH12
Campus Activewear Limited,CA07
Can Fin Homes Limited,CAM
Cantabil Retail India Limited,CRI01
Caplin Point Laboratories Limited,CPL
Capital Trust Limited,CI11
CARE Ratings Limited,CU
Cartrade Tech Limited,APT02
CARYSIL LIMITED,CHC
Castrol India Limited,CI11
Central Depository Services (India) Limited,CCI06
CEAT Limited,LIC09
Celebrity Fashions Limited,CFL04
Cello World Limited,CWL
Century Enka Limited,CTI
Century Extrusions Limited,CE02
Central Bank of India,CBO01
Centrum Capital Limited,MMF05
Centum Electronics Limited,CE10
CESC Limited,CI20
Capri Global Capital Limited,MMF05
CG Power and Industrial Solutions Limited,CG
Chalet Hotels Limited,CDB
Chambal Fertilizers & Chemicals Limited,CFC
Chembond Chemicals Ltd,CVX
The Byke Hospitality Ltd,TCS
California Software Company Limited,CS15
Computer Age Management Services Limited,CAM
Canara Bank,CI11
Capacit'e Infraprojects Limited,ADANI54145
Capital Small Finance Bank Limited,CSF01
Carborundum Universal Limited,CU
Career Point Limited,CU
Country Club Hospitality & Holidays Limited,CCI06
CCL Products (India) Limited,CC10
Century Plyboards (India) Limited,MIL16
Century Textiles & Industries Limited,CI11
Cera Sanitaryware Limited,CS18
Cerebra Integrated Technologies Limited,CIT
Chemcon Speciality Chemicals Limited,CI11
Chemfab Alkalis Limited,CA01
Chemplast Sanmar Limited,CS23
Chennai Petroleum Corporation Limited,CPC02
Cheviot Company Limited,CC04
Choice International Limited,CFS01
Cholamandalam Investment and Finance Company Limited,CDB
Cholamandalam Financial Holdings Limited,TII
CIE Automotive India Limited,MF19
Cigniti Technologies Limited,NII02
Cineline India Limited,CI11
Cinevista Limited,CI11
Cipla Limited,ADANI54145
Clean Science and Technology Limited,CST
CL Educate Limited,CE09
Chaman Lal Setia Exports Limited,CI11
CMS Info Systems Limited,CMCSA
Coal India Limited,CI11
Coastal Corporation Limited,CI11
Cochin Shipyard Limited,CS
Coffee Day Enterprises Limited,CDE
Coforge Limited,NII02
Compucom Software Limited,CPI
Commercial Syn Bags Limited,WAB
Container Corporation of India Limited,CCI
Concord Biotech Limited,CB08
Confidence Petroleum India Limited,CP10
Consolidated Finvest & Holdings Limited,CCI
Control Print Limited,CP11
Coromandel International Limited,CIF02
COSMO FIRST LIMITED,CF08
Country Condo's Limited,ADANI54145
Creative Eye Limited,CA04
Crown Lifters Limited,CG03
CSB Bank Limited,CSCO
Colgate Palmolive (India) Limited,CPI
Compuage Infocom Limited,CI29
Coral India Finance & Housing Limited,CIF02
Cords Cable Industries Limited,CCI07
Craftsman Automation Limited,CI11
Creative Newtech Limited,CI11
CREDITACCESS GRAMEEN LIMITED,CG03
Crompton Greaves Consumer Electricals Limited,CGC01
CSL Finance Limited,CSL01
Cambridge Technology Enterprises Limited,CI11
City Union Bank Limited,CUB
Cubex Tubings Limited,CT05
Cummins India Limited,CI11
Cupid Limited,CR02
Cyber Media (India) Limited,CMI01
Cybertech Systems And Software Limited,CSS
Cyient Limited,CI11
Cyient DLM Limited,CI11
Dabur India Limited,LIC09
Dalmia Bharat Limited,OCL
Dalmia Bharat Sugar and Industries Limited,D04
Damodar Industries Limited,GREEN54285
Dangee Dums Limited,DD
Datamatics Global Services Limited,DGS01
Data Patterns (India) Limited,DPI01
Davangere Sugar Company Limited,D04
D.B.Corp Limited,D04
Dilip Buildcon Limited,DB04
Dhampur Bio Organics Limited,DBO
Valor Estate Limited,VB05
DCM  Limited,DBI
DCM Financial Services Limited,D04
DCM Nouvelle Limited,DCMNV54272
DCM Shriram Limited,DCM02
DCM Shriram Industries Limited,DCM03
DCW Limited,D04
DCX Systems Limited,D04
Deccan Cements Limited,D04
DEE Development Engineers Limited,D04
Deepak Fertilizers and Petrochemicals Corporation Limited,DFP
Deepak Nitrite Limited,D04
DEEP ENERGY RESOURCES LIMITED,DI24
Deep Industries Limited,D04
Delhivery Limited,D06
DELPHI WORLD MONEY LIMITED,D04
Delta Corp Limited,D04
Delta Manufacturing Limited,DAL
DIC India Limited,DCA
Dish TV India Limited,DDL
DLF Limited,SNS01
Dodla Dairy Limited,DCI01
DPSC Limited,MWI
Dreamfolks Services Limited,W01
Ducon Infratechnologies Limited,LIC09
Dynemic Products Limited,DTI
E2E Networks Limited,EN
Easy Trip Planners Limited,ETP01
eClerx Services Limited,eS06
EIH Associated Hotels Limited,MI
EIH Limited,ADANI54145
Dishman Carbogen Amcis Limited,
DCB Bank Limited,DCB01
Dc Infotech And Communication Limited,DCI16041
DB (International) Stock Brokers Limited,DBI
Den Networks Limited,DN02
De Nora India Limited,NMD02
Dev Information Technology Limited,DIT02
Devyani International Limited,DI06
Digicontent Limited,DGCON54268
Dhampur Sugar Mills Limited,D04
Dhanuka Agritech Limited,DA01
Dharmaj Crop Guard Limited,DCG
Dhruv Consultancy Services Limited,DCS01
Dhunseri Investments Limited,DI27
Debock Industries Limited,DSM03
Divgi Torqtransfer Systems Limited,DTS
Divi's Laboratories Limited,ZIMLA54140
D-Link (India) Limited,DT07
Avenue Supermarts Limited,AS19
Dolat Algotech Limited,DI11
Dollar Industries Limited,LSI02
Dolphin Offshore Enterprises (India) Limited,DOE
DRC Systems India Limited,DSI02
Dredging Corporation of India Limited,LIC09
Dhunseri Tea & Industries Limited,DTI
Dhunseri Ventures Limited,CESCV54233
Emami Limited,EOP
Electronics Mart India Limited,EM
Epigral Limited,LIC09
EPL Limited,EM
Dhanlaxmi Bank Limited,DB01
Dhani Services Limited,IS13
Diamond Power Infrastructure Limited,DC05
Diamines & Chemicals Limited,DC04
Prataap Snacks Limited,PS20
Digidrive Distributors Limited,DDL
DiGiSPICE Technologies Limited,S13
Digjam Limited,D04
Dixon Technologies (India) Limited,MIL16
Diligent Media Corporation Limited,DB04
DOMS Industries Limited,DIL04
Donear Industries Limited,DI25
D. P. Abhushan Limited,DPA01
D P Wires Limited,W01
Dr. Reddy's Laboratories Limited,ZIMLA54140
Dynamic Cables Limited,D04
Dynamatic Technologies Limited,DT05
Edelweiss Financial Services Limited,EC01
Eicher Motors Limited,EM
EID Parry India Limited,EM
Euro India Fresh Foods Limited,EGJ
Eldeco Housing And Industries Limited,EH01
Elecon Engineering Company Limited,EEC
Electrosteel Castings Limited,EC02
Electrotherm (India) Limited,EI02
Elgi Equipments Limited,EE01
Elgi Rubber Company Limited,ERC01
Elin Electronics Limited,EE07
Emami Paper Mills Limited,APP
Emami Realty Limited,EI23
Equinox India Developments Limited,IRE01
eMudhra Limited,ADANI54145
Endurance Technologies Limited,NII02
Entertainment Network (India) Limited,EM
Entero Healthcare Solutions Limited,EHSL
Equitas Small Finance Bank Limited,EM
Eris Lifesciences Limited,EL01
Eros International Media Limited,EIM
Esab India Limited,LIC09
Essar Shipping Limited,ES10
Excel Realty N Infra Limited,EI07
Excel Industries Limited,GREEN54285
Exicom Tele-Systems Limited,ETL01
Exide Industries Limited,EI
Expleo Solutions Limited,TGS01
Fairchem Organics Limited,FO01
Faze Three Limited,FTE
Fedbank Financial Services Limited,FFSL
Fiberweb (India) Limited,MIL07
Fiem Industries Limited,LSI02
Filatex India Limited,OCL
Filatex Fashions Limited,FF08
Finolex Cables Limited,FC01
Future Lifestyle Fashions Limited,FLF01
Future Market Networks Limited,AD04
Foseco India Limited,FI12
Firstsource Solutions Limited,FS07
GAIL (India) Limited,MIL07
Galaxy Surfactants Limited,GSL06
GACM Technologies Ltd-RE,GWR
GACM Technologies Limited,BS11
Genesys International Corporation Limited,GW01
Genus Power Infrastructures Limited,GE07
Geojit Financial Services Limited,MMF05
GE Power India Limited,HSP02
GHCL Textiles Limited,JTA
GlaxoSmithKline Pharmaceuticals Limited,GI01
Global Education Limited,GH03
Global Vectra Helicorp Limited,GH03
Globe Textiles (India) Limited,KTI02
Globus Spirits Limited,GI01
GM Breweries Limited,GMB
Gujarat Mineral Development Corporation Limited,GMD
GMM Pfaudler Limited,GI01
GNA Axles Limited,A03
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GI01
Goa Carbon Limited,GC04
GOCL Corporation Limited,GOC01
Go Fashion (India) Limited,GI01
Godrej Properties Limited,GP11
Gokaldas Exports Limited,GE05
Gopal Snacks Limited,GSL10
Goyal Aluminiums Limited,GI01
Godawari Power And Ispat limited,CG
Gujarat Pipavav Port Limited,GPP03
GPT Healthcare Limited,GI01
Gravita India Limited,GI09
Greaves Cotton Limited,GC20
Greenply Industries Limited,GI01
G R Infraprojects Limited,I09
GRM Overseas Limited,GRM01
The Grob Tea Company Limited,TGT
Garware Hi-Tech Films Limited,GWR
Gujarat State Petronet Limited,GSP02
GSS Infotech Limited,GI01
GTL Infrastructure Limited,GTL02
GTPL Hathway Limited,GH02
Gujarat Apollo Industries Limited,GAI03
Gujarat Gas Limited,AC18
Gujarat Raffia Industries Limited,GI01
Gulshan Polyols Limited,GP9
Hindustan Aeronautics Limited,HAL
Happiest Minds Technologies Limited,HMT01
Happy Forgings Limited,HDF01
Harrisons  Malayalam Limited,ADANI54145
Hatsun Agro Product Limited,HAP
Ethos Limited,ADANI54145
Eurotex Industries and Exports Limited,EM
Eveready Industries India Limited,EII02
Everest Industries Limited,EII02
Exxaro Tiles Limited,ET02
FCS Software Solutions Limited,FCS
FDC Limited,LIC09
The Federal Bank  Limited,TCS
Future Enterprises Limited,FELDV57000
Fine Organic Industries Limited,FOI
Fino Payments Bank Limited,FPB
Finolex Industries Limited,FI
Federal-Mogul Goetze (India) Limited.,FMG
FORCE MOTORS LTD,FM01
Gujarat Ambuja Exports Limited,GAE
Gallantt Ispat Limited,GM02
Gandhar Oil Refinery (India) Limited,GOR
Gandhi Special Tubes Limited,GST
Ganesh Housing Corporation Limited,GI01
Ganga Forging Limited,GF
Gateway Distriparks Limited,GD01
GE T&D India Limited,GIC12
GFL Limited,LIC09
GHCL Limited,GI01
GIC Housing Finance Limited,GIC
Gujarat Industries Power Company Limited,GI01
GKW Limited,LIC09
Gland Pharma Limited,GP14
Glenmark Pharmaceuticals Limited,FPL01
Glenmark Life Sciences Limited,GLS01
GMR Airports Infrastructure Limited,GI27
GMR Power and Urban Infra Limited,GI01
Godfrey Phillips India Limited,GPI
Godha Cabcon & Insulation Limited,GCI06
Go Digit General Insurance Limited,GDGIL
Godrej Agrovet Limited,GI01
Godrej Consumer Products Limited,GCP
Godrej Industries Limited,GI23
Gokul Refoils and Solvent Limited,GRS
Goldiam International Limited,GI01
AION-TECH SOLUTIONS LIMITED,HHL
Goodluck India Limited,GLS
GPT Infraprojects Limited,GPT01
Granules India Limited,GI25
Graphite India Limited,OCL
Greenpanel Industries Limited,GREEN54285
Orient Green Power Company Limited,OGP
Grindwell Norton Limited,GI01
GRP Limited,LIC09
Garden Reach Shipbuilders & Engineers Limited,GRS01
G-TEC JAINX EDUCATION LIMITED,SEI07
GTL Limited,LIC09
Gufic Biosciences Limited,GB04
GP Petroleums Limited,GPI7
GVK Power & Infrastructure Limited,GVK
GVP Infotech Limited,FDS01
Hardwyn India Limited,GI34
Hathway Cable & Datacom Limited,HPI02
Havells India Limited,HI01
Sri Havisha Hospitality and Infrastructure Limited,SSL
HBL Power Systems Limited,HBL02
HB Stockholdings Limited,HBS
Hindustan Construction Company Limited,HU
ESAF Small Finance Bank Limited,ESF02
Escorts Kubota Limited,E
Fertilizers and Chemicals Travancore Limited,FCT
Fineotex Chemical Limited,FC02
Five-Star Business Finance Limited,FBF
Flair Writing Industries Limited,FWIL
Flexituff Ventures International Limited,FI08
Gujarat Fluorochemicals Limited,GUJAR54281
Focus Lighting and Fixtures Limited,FLF03
Fusion Micro Finance Limited,FMF
Gabriel India Limited,GI02
GACM Tech Ltd DVR-RE,APT02
GeeCee Ventures Limited,GIC12
Geekay Wires Limited,GW01
Generic Engineering Construction and Projects Limited,GIC12
Gensol Engineering Limited,GE07
Ester Industries Limited,GPB
Ganesha Ecosphere Limited,FI10
Ganesh Benzoplast Limited,GHC02
Ganges Securities Limited,ISL04
Garware Technical Fibres Limited,GI01
Integra Essentia Limited,IGT
Foods & Inns Limited,RSI
Fortis Healthcare Limited,CHC
Genus Paper & Boards Limited,GPB
Gujarat Lease Financing Limited,OCL
Gloster Limited,GLOST54235
General Insurance Corporation of India,OCL
Gillanders Arbuthnot & Company Limited,GAC03
Gillette India Limited,OCL
Ginni Filaments Limited,GF01
Gujarat Alkalies and Chemicals Limited,GAC01
Gulf Oil Lubricants India Limited,GOL01
Hariom Pipe Industries Limited,HPI02
Harsha Engineers International Limited,HEI
Healthcare Global Enterprises Limited,HGE
HCL Infosystems Limited,HCL
HCL Technologies Limited,HCL02
HDFC Asset Management Company Limited,HAM02
Gokul Agro Resources Limited,GAR
Golden Tobacco Limited,GT09
Grasim Industries Limited,GI01
Greenlam Industries Limited,LSI02
Gujarat State Fertilizers & Chemicals Limited,AC18
Global Surfaces Limited,GS17
HDFC Bank Limited,HDF01
Housing Development and Infrastructure Limited,HDI
Heads UP Ventures Limited,HGE
HEC Infra Projects Limited,HIP
HEG Limited,HEG
HeidelbergCement India Limited,HDF01
Hemisphere Properties India Limited,HPI01
Heranba Industries Limited,HDF01
Hercules Hoists Limited,HHM
Hester Biosciences Limited,HDF01
HFCL Limited,HFC
H.G. Infra Engineering Limited,HIE
Hinduja Global Solutions Limited,HU
Hikal Limited,HDF01
Hindustan Oil Exploration Company Limited,HC06
Hindustan Petroleum Corporation Limited,HU
Hisar Metal Industries Limited,HDF01
The Hi-Tech Gears Limited,TCS
HLE Glascoat Limited,SGE02
HDFC Life Insurance Company Limited,HSL01
Heritage Foods Limited,HFI
Hero MotoCorp Limited,HHM
Heubach Colorants India Limited,HDF01
HIL Limited,AIR
Hilton Metal Forging Limited,HDF01
Hindustan Copper Limited,HC07
Hindustan Motors Limited,HU
Hindware Home Innovation Limited,SHIL54290
Hindustan Zinc Limited,HZ
Hind Rectifiers Limited,SHIL54290
Hi-Tech Pipes Limited,JS08
Hitech Corporation Limited,HP08
HLV LIMITED,HLV
HMA Agro Industries Limited,HAI01
HMT Limited,HDF01
Honasa Consumer Limited,HCL06
HOV Services Limited,HA04
HT Media Limited,HEP
Hubtown Limited,HDF01
Hybrid Financial Services Limited,HUD
ICDS Limited,ICI02
Indo Count Industries Limited,ILG
ICRA Limited,ICI02
IDBI Bank Limited,IDB05
Vodafone Idea Limited,IC8
Ideaforge Technology Limited,ICI02
Indiabulls Enterprises Limited,ITC
IFGL Refractories Limited,IFG
Igarashi Motors India Limited,IM01
Indraprastha Gas Limited,ITC
IG Petrochemicals Limited,ICI02
IIFL Finance Limited,II15
IIFL Securities Limited,IIFLW54277
IL&FS Engineering and Construction Company Limited,TM03
Indian Metals & Ferro Alloys Limited,ITC
Impex Ferro Tech Limited,IFT
INCREDIBLE INDUSTRIES LIMITED,AI67
Indbank Merchant Banking Services Limited,IIB
Indegene Limited,ITC
India Glycols Limited,IHC
India Shelter Finance Corporation Limited,ITC
IndoStar Capital Finance Limited,ICI07
Ind-Swift Laboratories Limited,ITC
InfoBeans Technologies Limited,BI14
Infosys Limited,IT
Ingersoll Rand (India) Limited,IRI01
Innova Captab Limited,ICL01
Inox Green Energy Services Limited,ICI02
Intellect Design Arena Limited,IDA
IPCA Laboratories Limited,IOL01
India Pesticides Limited,ICI02
Iris Business Services Limited,IREDAL
Iris Clothings Limited,CG02
IRM Energy Limited,IRF
ICICI Securities Limited,ICI02
Intrasoft Technologies Limited,IA04
Isgec Heavy Engineering Limited,SIS06
ISMT Limited,ISL04
Hindustan Composites Limited,HS
Hindustan Media Ventures Limited,BC06
Hindustan Foods Limited,HU
Home First Finance Company India Limited,HFF
Honeywell Automation India Limited,HA04
HP Adhesives Limited,HA06
Hindprakash Industries Limited,HU
HPL Electric & Power Limited,HEP
IDFC First Bank Limited,IDF01
Indian Energy Exchange Limited,IEE
IFB Agro Industries Limited,ICI02
IFB Industries Limited,IFB02
IFCI Limited,ICI02
Industrial Investment Trust Limited,IIT01
IKIO Lighting Limited,ICI02
IL&FS Transportation Networks Limited,T04
Imagicaaworld Entertainment Limited,ICI02
India Motor Parts and Accessories Limited,IMP03
The Indian Hotels Company Limited,IHC
Indigo Paints Limited,IA04
India Nippon Electricals Limited,RNL
Indo Amines Limited,IA
Indraprastha Medical Corporation Limited,IMC03
Ind-Swift Limited,ISL
Indian Terrain Fashions Limited,ITC
IndusInd Bank Limited,IIB
Indus Towers Limited,BI14
Infibeam Avenues Limited,IT
INOX India Limited,LIC09
Inox Wind Limited,IW
Insecticides (India) Limited,MIL16
Inspirisys Solutions Limited,SR05
Intense Technologies Limited,NII02
International Conveyors Limited,IA04
Inventure Growth & Securities Limited-RE,IGS
Indian Overseas Bank,IOB
ION Exchange (India) Limited,IEI
IRB Infrastructure Developers Limited,IID01
Ircon International Limited,II07
Indian Railway Finance Corporation Limited,IRF
ITC Limited,LIC09
ITI Limited,ITD02
IZMO Limited,ICI02
The Jammu & Kashmir Bank Limited,TCS
Jagran Prakashan Limited,IHR
Jagsonpal Pharmaceuticals Limited,JSW01
Jash Engineering Limited,NC09
Jayant Agro Organics Limited,JSW01
Jay Bharat Maruti Limited,JTA
Johnson Controls - Hitachi Air Conditioning India Limited,JBC01
Jindal Photo Limited,ADANI54145
Jindal Poly Films Limited,JSW01
Jio Financial Services Limited,JDI
Jain Irrigation Systems Limited,JBI
JITF Infralogistics Limited,JSW01
JK Lakshmi Cement Limited,JKC03
JK Paper Limited,JSW01
Jullundur Motor Agency (Delhi) Limited,JKT01
JM Financial Limited,ICI02
Jocil Limited,JSW01
Jaiprakash Associates Limited,JBI
